epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.0538995021155901,0.025510208192721873,0.9736101311885067,0.020356239438648328,0.020356244780603317
1,0.0001,0.8930715964156755,0.13829354944056493,0.8301771427232194,0.44945738600890917,0.5828291273776517
2,0.0001,0.7959126244698252,0.44627000505714776,0.7674332870781877,0.4641948919133907,0.6112395543241582
3,0.0001,0.7751977861079634,0.49200405319535256,0.7842795421148985,0.5121279181277456,0.6457507979856559
4,0.0001,0.7698974373693369,0.5066616629037647,0.7619574226192543,0.561443396669641,0.6940362906731329
5,0.0001,0.762910857112432,0.5317575618841044,0.74745953416703,0.5736687539478251,0.7075792766908858
6,0.0001,0.7561923135832256,0.5481884283612044,0.7347344443694932,0.6258095362659242,0.7534824358642448
7,0.0001,0.752675931292529,0.5599080511608117,0.734513361338744,0.6274038531374672,0.7515386526953064
8,0.0001,0.7491124562767087,0.5786214784845837,0.7402487503359942,0.622364069355017,0.7477111505722244
9,0.0001,0.7449051280106816,0.5914478502365617,0.7360748725993033,0.6195896228917173,0.7462104125011896
10,0.0001,0.7418771526034997,0.6128486070259139,0.722534177715845,0.649506005492629,0.769695090873254
11,0.0001,0.73813560027249,0.6243081425006604,0.7205549621096701,0.6733532039063886,0.7895021073960597
12,0.0001,0.7336903901732698,0.6429015206642518,0.7156485633085702,0.7063665193191666,0.8112892543105491
13,0.0001,0.734399098522809,0.6609732369241325,0.7173583099556939,0.669683170100332,0.7849431220100782
14,0.0001,0.731161858354296,0.6524602313176482,0.7141375000240239,0.7079145497014342,0.8139121721112925
15,0.0001,0.7300869429826128,0.65154505390364,0.7140488337924462,0.7026118137525904,0.8088320100553017
16,0.0001,0.727646174935662,0.6932644178678504,0.71152808875528,0.7319443492963326,0.8354655026209511
17,0.0001,0.7246377275762509,0.6913543609835137,0.7115052016333466,0.7372594668703363,0.838654405141595
18,0.0001,0.7241815004725846,0.6782310895190464,0.7143051418032659,0.755278902445924,0.8545626451276036
19,0.0001,0.7256332335575503,0.7001177797664742,0.7093791383823366,0.723472806397864,0.8259891220457822
